ID,Target,Date,UT,Filter,alpha,P,eP,theta,theta,Pr,theater,Inst
,,(YY-MM-DD),,,(deg),(%),(%),(deg),(deg),(%),(deg),
238,238 Hypatia,23-06-21,15:30--16:26, Rc,21.71,0.07,0.06,1.59,38.15,0.03,25.18,MSI
238,238 Hypetia,23-09-02,16:35--16:41, Rc,8.14,1.33,0.06,48.11,1.26,-1.26,80.22,MSI
240,240 Vanadis,23-08-21,10:45--11:09, Rc,7.35,1.40,0.06,71.43,1.16,-1.40,89.89,MSI
257,257 Silesia,20-08-13,15:49--16:01, Rc,10.39,1.60,0.14,79.34,2.53,-1.56,96.50,MSI
257,257 Silesia,20-08-21,15:37--15:54, Rc,7.81,1.57,0.08,76.45,1.44,-1.57,90.76,MSI
257,257 Silesia,20-08-23,17:26--17:40, Rc,7.10,1.44,0.10,78.60,1.94,-1.44,91.82,MSI
266,266 Aline,23-06-20,13:01--13:27, Rc,13.00,1.34,0.07,-75.09,1.54,-1.33,87.23,MSI
266,266 Aline,23-06-21,14:06--14:46, Rc,13.26,1.29,0.11,-74.71,2.36,-1.28,87.56,MSI
266,266 Aline,23-06-24,12:38--13:02, Rc,13.96,1.29,0.08,-72.31,1.83,-1.28,89.83,MSI
266,266 Aline,23-06-25,14:30--14:53, Rc,14.20,1.24,0.40,-74.54,9.81,-1.17,87.57,MSI
266,266 Aline,23-06-26,12:44--14:15, Rc,14.41,1.02,0.07,-72.75,2.06,-1.02,89.32,MSI
266,266 Aline,23-07-01,12:35--13:28, Rc,15.42,1.25,0.11,-72.06,2.52,-1.25,89.92,MSI
282,282 Clorinde,23-08-21,14:30--15:42, Rc,8.13,1.03,0.10,77.07,2.67,-1.02,89.27,MSI
284,284 Amalia,23-06-21,12:49--13:19, Rc,25.49,1.45,0.08,14.20,1.51,1.41,-6.44,MSI
308,308 Polyxo,20-07-31,16:17--16:26, Rc,10.27,1.57,0.05,62.68,0.89,-1.57,91.63,MSI
308,308 Polyxo,20-08-08,18:18--18:42, Rc,7.06,1.33,0.09,54.11,1.92,-1.32,86.73,MSI
308,308 Polyxo,20-08-09,18:30--18:30, Rc,6.65,1.38,0.55,56.48,11.35,-1.38,89.82,MSI
308,308 Polyxo,20-08-17,16:52--17:06, Rc,3.34,0.73,0.05,46.59,2.09,-0.73,92.16,MSI
308,308 Polyxo,20-08-21,18:18--18:26, Rc,1.83,0.39,0.09,23.33,6.82,-0.39,92.54,MSI
308,308 Polyxo,20-10-13,11:56--12:21,Rc,17.85,0.79,0.04,78.38,1.55,-0.77,96.50,MSI
357,357 Ninina,23-06-20,13:37--14:05, Rc,8.21,1.48,0.06,-39.93,1.13,-1.48,91.04,MSI
357,357 Ninina,23-07-01,13:36--14:13, Rc,10.65,1.51,0.09,-54.82,1.73,-1.51,90.33,MSI
368,368 Haidea,23-06-22,16:20--17:30,Rc,24.32,1.93,0.18,-26.89,2.62,1.91,-3.39,MSI
375,375 Ursula,20-08-02,18:12--18:22,Rc,15.03,0.93,0.06,70.92,1.69,-0.91,96.34,MSI
375,375 Ursula,20-08-09,18:10--18:22,Rc,13.04,1.07,0.10,64.98,2.61,-1.07,91.80,MSI
375,375 Ursula,20-08-16,15:17--17:37,Rc,10.80,1.50,0.17,68.00,3.29,-1.45,97.00,MSI
375,375 Ursula,20-08-21,16:45--16:55,Rc,9.06,1.12,0.04,61.24,1.10,-1.11,92.68,MSI
398,398 Admete,20-07-30,17:26--17:50,Rc,9.61,1.48,0.14,50.30,2.71,-1.48,90.77,MSI
398,398 Admete,20-08-21,16:02--17:53,Rc,4.05,0.82,0.09,-25.54,3.26,-0.78,80.36,MSI
398,398 Admete,20-08-24,14:40--15:04, Rc,4.18,0.91,0.20,-38.02,6.19,-0.89,85.10,MSI
405,405 Thia,20-07-30,16:31--17:11,Rc,15.11,1.33,0.05,51.32,1.02,-1.33,89.79,MSI
405,405 Thia,20-08-09,14:44--16:24, Rc,12.59,1.37,0.37,43.75,7.75,-1.37,89.16,MSI
405,405 Thia,20-08-13,15:32--15:43,Rc,11.49,1.51,0.06,38.96,1.21,-1.50,88.13,MSI
405,405 Thia,20-08-21,18:00--18:13,Rc,9.23,1.60,0.08,28.80,1.48,-1.60,88.45,MSI
405,405 Thia,20-08-25,15:59--16:29, Rc,8.18,1.46,0.08,23.15,1.61,-1.46,89.94,MSI
405,405 Thia,23-06-20,12:29--12:51, Rc,31.23,3.68,0.06,23.24,0.47,3.68,-0.27,MSI
410,410 Chloris,23-06-21,12:24--12:42, Rc,25.81,1.76,0.08,20.26,1.34,1.75,-3.39,MSI
442,442 Eichsfeldia,23-11-02,15:14--15:54, Rc,8.46,1.59,0.06,110.72,1.05,-1.54,97.33,MSI
490,490 Veritas,20-07-31,14:52--15:06,Rc,9.79,1.60,0.16,-73.77,2.91,-1.60,89.09,MSI
490,490 Veritas,20-08-22,12:36--12:50, Rc,15.09,1.46,0.08,-84.12,1.58,-1.46,90.47,MSI
490,490 Veritas,22-11-28,13:18--14:17, Rc,12.97,1.10,0.11,-66.50,2.77,-1.09,-86.82,WFGS2
503,503 Evelyn,20-04-11,14:36--14:59, Rc,22.69,0.44,0.07,17.67,4.65,0.44,-3.60,MSI
503,503 Evelyn,20-04-13,14:05--14:29, Rc,22.98,0.24,0.10,5.74,11.35,0.21,-15.32,MSI
503,503 Evelyn,20-05-07,13:36--14:30, Rc,24.76,1.19,0.11,20.39,2.69,1.18,0.54,MSI
503,503 Evelyn,20-05-15,13:33--14:44, Rc,24.75,1.38,0.16,13.12,3.41,1.34,-6.66,MSI
586,586 Thekla,20-07-31,16:36--17:04,Rc,14.00,1.26,0.24,71.07,5.45,-1.23,96.16,MSI
